id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
9,name,1,0,"","[10]","[[[585,199],1789,950]]",1,1,0
10,name,1,0,"","[9,4]","[[[1205,950],0,4],[13,1]]",1,1,0
11,name,1,0,"","[1]","[[[3319001,[13,10],[13,10],1]]]",1,1,0
12,name,4,0,"[2,0]","[7]","[[3401012]]",1,1,0
13,name,5,0,"","[9,18]","[[[1175,523],2000,9],[0]]",1,0,0
14,name,1,2000,"","[9]","[[[1175,523],1000,9]]",1,1,0
15,name,1,3000,"","[11]","[[26001,0,0,0,0,23]]",1,1,0
23,name,5,0,"","[19]","[[0]]",1,0,0
28,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
53,name,6,0,"[1,1]","[11]","[[26002,0,0,0,0,41]]",1,1,0
41,name,5,0,"","[9,4,18,4]","[[[685,356],1500,1],[42,1],[0],[47,1]]",1,0,0
42,name,5,1500,"","[9,4]","[[[685,356],4500,1],[46,1]]",1,0,0
46,name,5,1000,"","[1]","[[[3316003,[11,12],[11,12],1]]]",1,0,0
47,name,5,6000,"","[11]","[[26003,0,0,0,0,26]]",1,0,0
26,name,5,0,"","[5]","[[0]]",1,0,0
