sounds_id,sounds_name
1,loading.mp3
2,m_city.mp3
3,m_field.mp3
4,ui99.mp3
5,ui_click.mp3
6,city_levelup.mp3
7,city_construction.mp3
8,ui_open_item.mp3
9,ui_click_error.mp3
10,territory_levelup.mp3
11,territory_food.mp3
12,territory_wood.mp3
13,territory_click.mp3
14,city_storage.mp3
15,city_college.mp3
16,city_wall.mp3
17,city_castel.mp3
18,city_tower.mp3
19,city_filed.mp3
20,city_market.mp3
21,city_invalid.mp3
22,ui_get.mp3
23,city_dismantle.mp3
24,territory_stone.mp3
25,city_camp_target.mp3
26,city_camp_horse.mp3
27,city_camp_barracks.mp3
28,city_camp_instrument.mp3
29,city_house.mp3
30,city_activity.mp3
31,ui_soldier.mp3
32,env_big_waterfall.mp3
33,env_small_waterfall.mp3
34,env_bell.mp3
35,env_boiler.mp3
36,ui_instruction_enter.mp3
37,ui_instruction_out.mp3
38,battle_alert.mp3
39,effects_build.mp3
40,1201001_attack.mp3
41,1201001_attacked.mp3
42,1201001_die.mp3
43,1201001_choice.mp3
44,1201002_attack.mp3
45,1201002_attacked.mp3
46,1201002_die.mp3
47,1201002_choice.mp3
48,1202001_attack.mp3
49,1202001_attacked.mp3
50,1202001_die.mp3
51,1202001_choice.mp3
52,1202002_attack.mp3
53,1202002_attacked.mp3
54,1202002_die.mp3
55,1202002_choice.mp3
56,1203001_attack.mp3
57,1203001_attacked.mp3
58,1203001_die.mp3
59,1203001_choice.mp3
60,1203002_attack.mp3
61,1203002_attacked.mp3
62,1203002_die.mp3
63,1203002_choice.mp3
64,1204001_attack.mp3
65,1204001_attacked.mp3
66,1204001_die.mp3
67,1204001_choice.mp3
68,1201001_instructions
69,1201002_instructions
70,1202001_instructions
71,1202002_instructions
72,1203001_instructions
73,1203002_instructions
74,1204001_instructions
