id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,18]","[[[0,0],1500,800],[0]]",1,1,0
7,name,1,0,"","[1,4]","[[[3301103,[6,4],[6,4],1],[3301103,[6,2],[6,2],2],[3301201,[7,3],[7,3],4],[3301201,[7,1],[7,1],5]],[10,1]]",1,1,0
10,name,5,100,"","[9,4]","[[[210,0],1000,1],[12,1]]",1,0,0
12,name,5,1000,"","[11]","[[2001,0,0,0,0,15]]",1,0,0
15,name,5,0,"","[9,4]","[[[0,0],1000,1],[18,1]]",1,0,0
18,name,5,1000,"","[11]","[[2002,0,0,0,0,39]]",1,0,0
39,name,5,0,"","[19]","[[0]]",1,0,0
20,name,7,0,"[1,2,4,5]","[1,9,4,18]","[[[3301103,[11,10],[11,10],3]],[[870,460],3000,9],[24,1],[0]]",1,1,0
24,name,5,3000,"","[11]","[[2003,0,0,0,0,27]]",1,0,0
27,name,5,0,"","[9,4]","[[[540,0],2000,8],[44,1]]",1,0,0
44,name,5,2000,"","[19]","[[0]]",1,0,0
29,name,6,0,"[1,5]","[5]","[[0]]",1,1,0
31,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
25,name,4,0,"[2,0]",[7],[[3401014]],1,1,0
