id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,4,18,4,1,12,12,12]","[[[0,0],2217,1175],[[1099,0],0,1],[3,1],[0],[5,1],[[3314004,[4,9],[4,9],1],[3315004,[4,8],[4,8],2],[3315004,[5,8],[5,8],3],[3314004,[12,15],[12,15],4],[3314004,[13,14],[13,14],5],[3315004,[12,14],[12,14],6],[3318004,[10,10],[10,10],7],[3318004,[14,7],[14,7],8],[3320002,[18,11],[18,11],9],[3318004,[14,6],[14,6],10],[3318004,[13,7],[13,7],11]],[""weijihuo"",1,2,1,1,500,[225,409]],[""weijihuo"",2,2,1,1,500,[1260,936]],[""portal"",10,1,1,1,500,[1845,760]]]",1,1,0
5,name,5,10,"","[11]","[[34001,0,0,0,0,6]]",1,0,0
6,name,5,0,"","[4,4,4,4,4]","[[7,1],[8,1],[9,1],[10,1],[11,1]]",1,0,0
7,name,5,0,"","[9]","[[[0,97],1500,1]]",1,0,0
8,name,5,1500,"","[9]","[[[0,97],2000,1]]",1,0,0
9,name,5,3500,"","[9]","[[[644,470],1500,1]]",1,0,0
10,name,5,5000,"","[9]","[[[644,470],1500,1]]",1,0,0
11,name,5,6500,"","[11]","[[34002,0,0,0,0,12]]",1,0,0
12,name,5,0,"","[4,4,4]","[[13,1],[14,1],[15,1]]",1,0,0
13,name,5,0,"","[9]","[[[1197,346],1500,1]]",1,0,0
14,name,5,1500,"","[9]","[[[1197,346],2000,1]]",1,0,0
15,name,5,3500,"","[11]","[[34003,0,0,0,0,16]]",1,0,0
16,name,5,0,"","[9,4]","[[[1099,0],1500,1],[17,1]]",1,0,0
17,name,5,1500,"","[11]","[[34004,0,0,0,0,18]]",1,0,0
18,name,5,0,"","[19]","[[0]]",1,0,0
19,name,7,0,"[1,2,3,4,5,6]","[11,18]","[[34005,0,0,0,0,20],[0]]",1,1,0
20,name,5,0,"","[19]","[[0]]",1,0,0
21,name,4,0,"[2,0]","[7]","[[3401022]]",1,1,0
23,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
77,name,7,0,"[1,2,3]","[13,12]","[[1,1,500],[""jihuohou"",3,2,1,1,500,[225,409]]]",1,1,0
78,name,7,0,"[4,5,6]","[13,12]","[[2,1,500],[""jihuohou"",4,2,1,1,500,[1260,936]]]",1,1,0
79,name,7,0,"[1,2,3,4,5,6]","[4,12]","[[80,1],[""portal"",11,2,1,1,500,[1845,760]]]",1,1,0
80,name,2,0,"[0,[20,13]]","[5]","[[0]]",1,0,0
