id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
7,name,1,0,"","[10]","[[[103,247],2697,1563]]",1,1,0
8,name,1,0,"","[9,18,4,4,4,4,4,4,12]","[[[958,749],0,9],[0],[26,1],[27,1],[28,1],[13,1],[14,1],[15,1],[""portal"",0,2,1,1,500,[2610,819]]]",1,1,0
26,name,5,0,"","[9]","[[[958,749],2000,9]]",1,0,0
27,name,5,2000,"","[9]","[[[1842,1133],2000,9]]",1,0,0
28,name,5,4000,"","[9]","[[[2697,812],2000,6]]",1,0,0
13,name,5,6000,"","[9]","[[[2697,812],2000,6]]",1,0,0
14,name,5,8000,"","[9]","[[[958,749],2000,9]]",1,0,0
15,name,5,10000,"","[11]","[[14001,0,0,0,0,39]]",1,0,0
39,name,5,0,"","[19]","[[0]]",1,0,0
9,name,1,0,"","[1]","[[[3305202,[5,15],[5,15],1],[3305202,[3,10],[3,10],2],[3305202,[7,7],[7,7],3],[3305202,[11,8],[11,8],4],[3305202,[15,16],[15,16],5],[3307102,[20,20],[20,20],6],[3307102,[24,19],[24,19],7],[3305202,[26,17],[26,17],8],[3305202,[15,17],[15,17],9],[3307102,[22,21],[22,21],10],[3307102,[23,20],[23,20],11],[3305202,[27,18],[27,18],12]]]",1,1,0
10,name,4,0,"[2,0]","[7]","[[3401004]]",1,1,0
11,name,2,0,"[0,[29,14]]","[5]","[[0]]",1,1,0
12,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
