id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
6,name,1,0,,[10],"[[[0,0],2699,1870]]",1,1,1
7,name,1,0,,[9],"[[[483,406],0,9]]",1,1,1
8,name,1,0,,[1],"[[[3316001,[13,17],[13,17],1],[3316001,[15,19],[15,19],2],[3316001,[16,14],[16,14],3],[3316001,[18,17],[18,17],4]]]",1,1,1
9,name,6,0,"[1,4]",[11],"[[23001,0,0,0,0,14]]",1,1,1
14,name,5,0,,"[11,4]","[[1000000,2,0,0,0,43],[41,1]]",1,0,1
41,name,5,2100,,[20],[[0]],1,0,1
43,name,5,0,,[5],[[0]],1,0,1
20,name,4,0,"[2,0]",[7],[[3400203]],1,1,1
22,name,6,0,"[0,1]",[6],[[0]],1,1,1
24,name,1,0,,[10],"[[[0,0],2699,1870]]",1,1,2
25,name,1,0,,[9],"[[[0,0],0,1]]",1,1,2
26,name,1,0,,[1],"[[[3316001,[13,17],[13,17],1],[3316001,[15,19],[15,19],2],[3316001,[16,14],[16,14],3],[3316001,[18,17],[18,17],4]]]",1,1,2
27,name,6,0,"[1,4]",[5],[[0]],1,1,2
28,name,6,0,"[0,0]",[6],[[0]],1,1,2
