id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,,"[10,9,4,18,1,4]","[[[0,0],1330,1007],[[0,0],0,1],[28,1],[0],[[3320001,[6,11],[6,11],1],[3320001,[8,12],[8,12],2],[3320001,[9,11],[9,11],3],[3320001,[11,9],[11,9],4],[3320001,[10,8],[10,8],5]],[31,1]]",1,1,0
3,name,4,0,"[2,0]",[7],[[3401019]],1,1,0
4,name,5,1500,,"[9,4]","[[[341,255],1500,1],[5,1]]",1,0,0
5,name,5,1500,,"[9,4]","[[[341,255],2000,1],[6,1]]",1,0,0
6,name,5,2000,,"[9,4]","[[[0,0],1500,1],[7,1]]",1,0,0
7,name,5,1500,,[11],"[[31001,0,0,0,0,8]]",1,0,0
8,name,5,0,,[19],[[0]],1,0,0
24,name,6,0,"[1,5]",[5],[[0]],1,1,0
26,name,6,0,"[0,1]",[6],[[0]],1,1,0
28,name,5,0,,"[9,4]","[[[0,0],1500,1],[4,1]]",1,0,0
31,name,5,0,,[24],"[[[1,2,3,4,5,6],7]]",1,0,0
