id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,4]","[[[120,0],1571,922],[[925,448],0,9],[74,1]]",1,1,0
7,name,1,0,"","[4,4,4,18,4]","[[43,1],[44,1],[45,1],[0],[46,1]]",1,1,0
43,name,5,1000,"","[1]","[[[3317001,[10,12],[10,12],1]]]",1,0,0
44,name,5,2000,"","[1]","[[[3317001,[14,9],[14,9],2]]]",1,0,0
45,name,5,3000,"","[1]","[[[3317001,[6,7],[6,7],3]]]",1,0,0
46,name,5,4000,"","[11]","[[24001,0,0,0,0,47]]",1,0,0
47,name,5,0,"","[19,4,4,4]","[[0],[59,1],[60,1],[61,1]]",1,0,0
59,name,5,15000,"","[1]","[[[3305206,[7,10],[7,10],4],[3307106,[7,5],[7,5],5],[3307106,[14,6],[14,6],6],[3314002,[11,12],[11,12],7]]]",1,0,0
60,name,5,30000,"","[1]","[[[3305206,[9,12],[9,12],8],[3307106,[15,8],[15,8],9],[3315002,[11,4],[11,4],10],[3318001,[6,5],[6,5],11]]]",1,0,0
61,name,5,45000,"","[1]","[[[3318001,[12,10],[12,10],12],[3318001,[9,6],[9,6],13]]]",1,0,0
65,name,6,0,"[1,13]","[5]","[[0]]",1,1,0
66,name,4,0,"[2,0]","[7]","[[3401010]]",1,1,0
70,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
74,name,5,0,"","[9]","[[[925,448],4000,9]]",1,0,0
