id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,1,4,18]","[[[0,0],1371,981],[[141,241],0,1],[[3322003,[8,13],[8,13],1],[3325002,[11,10],[11,10],2],[3325002,[6,6],[6,6],3],[3325002,[3,8],[3,8],4],[3321003,[4,12],[4,12],5],[3327001,[9,14],[9,14],6],[3327001,[12,10],[12,10],7],[3327001,[5,5],[5,5],8],[3327001,[2,8],[2,8],9],[3327001,[3,13],[3,13],10]],[3,1],[0]]",1,1,0
3,name,5,10,"","[11]","[[42001,0,0,0,0,4]]",1,0,0
4,name,5,0,"","[19,4,4,4,4,4,4,4,4,4]","[[0],[5,1],[6,1],[7,1],[8,1],[9,1],[10,1],[26,1],[27,1],[28,1]]",1,0,0
5,name,5,15000,"","[1]","[[[3321002,[8,13],[8,13],11],[3321002,[11,10],[11,10],12],[3321002,[6,6],[6,6],13],[3321002,[3,8],[3,8],14],[3326001,[4,12],[4,12],15]]]",1,0,0
6,name,5,30000,"","[1]","[[[3322002,[8,13],[8,13],16],[3322002,[11,10],[11,10],17],[3322002,[6,6],[6,6],18],[3322002,[3,8],[3,8],19],[3325001,[4,12],[4,12],20]]]",1,0,0
7,name,5,45000,"","[1]","[[[3325001,[8,13],[8,13],21],[3326001,[11,10],[11,10],22],[3326001,[6,6],[6,6],23],[3325001,[3,8],[3,8],24],[3321002,[4,12],[4,12],25]]]",1,0,0
8,name,5,60000,"","[1]","[[[3322003,[8,13],[8,13],26],[3325002,[11,10],[11,10],27],[3325002,[6,6],[6,6],28],[3325002,[3,8],[3,8],29],[3321003,[4,12],[4,12],30]]]",1,0,0
9,name,5,75000,"","[1]","[[[3321002,[8,13],[8,13],31],[3321002,[11,10],[11,10],32],[3321002,[6,6],[6,6],33],[3321002,[3,8],[3,8],34],[3326001,[4,12],[4,12],35]]]",1,0,0
10,name,5,90000,"","[1]","[[[3322002,[8,13],[8,13],36],[3322002,[11,10],[11,10],37],[3322002,[6,6],[6,6],38],[3322002,[3,8],[3,8],39],[3325001,[4,12],[4,12],40]]]",1,0,0
26,name,5,105000,"","[1]","[[[3325001,[8,13],[8,13],41],[3326001,[11,10],[11,10],42],[3326001,[6,6],[6,6],43],[3325001,[3,8],[3,8],44],[3321002,[4,12],[4,12],45]]]",1,0,0
27,name,5,120000,"","[1]","[[[3322003,[8,13],[8,13],46],[3325002,[11,10],[11,10],47],[3325002,[6,6],[6,6],48],[3325002,[3,8],[3,8],49],[3321003,[4,12],[4,12],50]]]",1,0,0
28,name,5,135000,"","[1]","[[[3322003,[8,13],[8,13],51],[3325002,[11,10],[11,10],52],[3325002,[6,6],[6,6],53],[3325002,[3,8],[3,8],54],[3321003,[4,12],[4,12],55]]]",1,0,0
49,name,7,0,"[6,7,8,9,10]","[11,18]","[[42002,0,0,0,0,50],[0]]",1,1,0
50,name,5,0,"","[5]","[[0]]",1,0,0
51,name,4,0,"[2,0]","[7]","[[3401026]]",1,1,0
56,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
58,name,7,0,"[6]","[12,12]","[[""nengliangbaozha"",1,2,3,1,500,[810,817]],[""posuiwujian"",6,1,1,1,500,[810,817]]]",1,1,0
59,name,7,0,"[7]","[12,12]","[[""nengliangbaozha"",2,2,3,1,500,[1078,584]],[""posuiwujian"",7,1,1,1,500,[1078,584]]]",1,1,0
60,name,7,0,"[8]","[12,12]","[[""nengliangbaozha"",3,2,3,1,500,[494,292]],[""posuiwujian"",8,1,1,1,500,[494,292]]]",1,1,0
61,name,7,0,"[9]","[12,12]","[[""nengliangbaozha"",4,2,3,1,500,[178,469]],[""posuiwujian"",9,1,1,1,500,[178,469]]]",1,1,0
62,name,7,0,"[10]","[12,12]","[[""nengliangbaozha"",5,2,3,1,500,[314,762]],[""posuiwujian"",10,1,1,1,500,[314,762]]]",1,1,0
