id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,4]","[[[75,133],1567,1239],[[366,361],0,1],[3,1]]",1,1,1
3,name,5,10,"","[11,18]","[[33001,0,0,0,0,4],[0]]",1,0,1
4,name,5,0,"","[4,4,4,4,4,4,4,4,4,4,4]","[[8,1],[9,1],[10,1],[11,1],[12,1],[13,1],[14,1],[47,1],[48,1],[49,1],[50,1]]",1,0,1
8,name,5,0,"","[9]","[[[366,596],1500,1]]",1,0,1
9,name,5,1500,"","[1]","[[[3321001,[9,16],[9,16],1]]]",1,0,1
10,name,5,1500,"","[9]","[[[75,300],1500,1]]",1,0,1
11,name,5,3000,"","[1]","[[[3322001,[2,10],[2,10],2]]]",1,0,1
12,name,5,3000,"","[9]","[[[320,155],1500,1]]",1,0,1
13,name,5,4500,"","[1]","[[[3322001,[9,4],[9,4],3]]]",1,0,1
14,name,5,4500,"","[9]","[[[605,300],1500,1]]",1,0,1
47,name,5,6000,"","[1]","[[[3321001,[16,10],[16,10],4]]]",1,0,1
48,name,5,6010,"","[9]","[[[605,300],2000,1]]",1,0,1
49,name,5,8020,"","[9]","[[[366,341],1500,1]]",1,0,1
50,name,5,9520,"","[11]","[[33002,0,0,0,0,51]]",1,0,1
51,name,5,0,"","[19,4]","[[0],[52,1]]",1,0,1
52,name,5,0,"","[4,4,4,4]","[[53,1],[72,1],[73,1],[74,1]]",1,0,1
53,name,5,15000,"","[1]","[[[3321001,[9,16],[9,16],5],[3321001,[2,10],[2,10],6],[3321001,[9,4],[9,4],7],[3321001,[16,10],[16,10],8]]]",1,0,1
72,name,5,30000,"","[1]","[[[3322001,[9,16],[9,16],9],[3322001,[2,10],[2,10],10],[3322001,[9,4],[9,4],11],[3322001,[16,10],[16,10],12]]]",1,0,1
73,name,5,45000,"","[1]","[[[3323001,[6,12],[6,12],13],[3323001,[12,12],[12,12],14]]]",1,0,1
74,name,6,0,"[1,14]","[11]","[[33003,0,0,0,0,75]]",1,1,1
75,name,5,0,"","[5]","[[0]]",1,0,1
76,name,4,0,"[2,0]","[7]","[[3401021]]",1,1,1
77,name,6,0,"[0,1]","[6]","[[0]]",1,1,1
87,name,1,0,"","[10,9]","[[[75,133],1567,1239],[[366,361],0,1]]",1,1,2
92,name,1,0,"","[1,1,1,1]","[[[3321001,[9,16],[9,16],1]],[[3322001,[2,10],[2,10],2]],[[3322001,[9,4],[9,4],3]],[[3321001,[16,10],[16,10],4]]]",1,1,2
98,name,1,15000,"","[1]","[[[3321001,[9,16],[9,16],5],[3321001,[2,10],[2,10],6],[3321001,[9,4],[9,4],7],[3321001,[16,10],[16,10],8]]]",1,1,2
99,name,1,30000,"","[1]","[[[3322001,[9,16],[9,16],9],[3322001,[2,10],[2,10],10],[3322001,[9,4],[9,4],11],[3322001,[16,10],[16,10],12]]]",1,1,2
100,name,1,45000,"","[1]","[[[3323001,[6,12],[6,12],13],[3323001,[12,12],[12,12],14]]]",1,1,2
104,name,6,0,"[1,14]","[5]","[[0]]",1,1,2
105,name,6,0,"[0,1]","[6]","[[0]]",1,1,2
