id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
2,name,1,0,"","[10,9,1,4,4]","[[[0,0],1699,1496],[[0,511],0,1],[[3305207,[4,12],[4,12],1],[3307107,[3,9],[3,9],2],[3318003,[8,9],[8,9],3],[3318003,[8,6],[8,6],4],[3318003,[9,7],[9,7],5],[3305207,[14,13],[14,13],6],[3307107,[13,11],[13,11],7],[3318003,[17,10],[17,10],8],[3318003,[16,7],[16,7],9],[3318003,[18,6],[18,6],10],[3318003,[8,7],[8,7],11],[3318003,[18,8],[18,8],12]],[3,1],[40,1]]",1,1,0
3,name,5,0,"","[9,4]","[[[0,511],1500,1],[4,1]]",1,0,0
4,name,5,1500,"","[9,4]","[[[20,173],1000,1],[5,1]]",1,0,0
5,name,5,1000,"","[9,4]","[[[20,173],2000,1],[6,1]]",1,0,0
6,name,5,2000,"","[9,4]","[[[555,291],2000,1],[7,1]]",1,0,0
7,name,5,2000,"","[9,4]","[[[555,291],2000,1],[8,1]]",1,0,0
8,name,5,2000,"","[9,4]","[[[0,511],1500,1],[9,1]]",1,0,0
9,name,5,1510,"","[11]","[[32001,0,0,0,0,10]]",1,0,0
10,name,5,0,"","[19]","[[0]]",1,0,0
31,name,6,0,"[1,12]","[11]","[[32002,0,0,0,0,32]]",1,1,0
32,name,5,0,"","[5]","[[0]]",1,0,0
33,name,4,0,"[2,0]","[7]","[[3401020]]",1,1,0
34,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
40,name,5,10,"","[18]","[[0]]",1,0,0
42,name,1,0,"","[12,12]","[[""chongbaojingtai"",10,1,1,1,500,[495,408]],[""chongbaojingtai"",20,1,1,1,500,[1036,643]]]",1,1,0
44,name,2,0,"[0,[5,7]]","[12,13,4,4]","[[""chongbao"",101,2,1,1,500,[495,408]],[10,1,500],[48,1],[56,1]]",1,1,0
48,name,5,2000,"","[13]","[[101,1,500]]",1,0,0
50,name,2,0,"[0,[11,11]]","[12,13,4,4]","[[""chongbao"",102,2,1,1,500,[1036,643]],[20,1,500],[54,1],[60,1]]",1,1,0
54,name,5,2000,"","[13]","[[102,1,500]]",1,0,0
56,name,5,0,"","[14]","[[[5,7],3311002]]",1,0,0
60,name,5,0,"","[14]","[[[11,11],3311002]]",1,0,0
