id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
7,name,5,0,"","[10,9,4]","[[[0,539],1828,1639],[[0,723],0,1],[11,1]]",2,0,0
8,name,1,0,"","[18]","[[0]]",1,1,0
9,name,1,0,"","[1]","[[[3305203,[7,16],[7,16],1],[3307103,[9,19],[9,19],2],[3305203,[13,22],[13,22],3],[3307103,[14,22],[14,22],4],[3305203,[17,21],[17,21],5],[3307103,[19,17],[19,17],6],[3313001,[26,10],[26,10],7]]]",1,1,0
10,name,4,0,"[2,0]","[7]","[[3401005]]",1,1,0
11,name,5,0,"","[11]","[[15001,0,0,0,0,33]]",1,0,0
12,name,7,0,"[1,2,3,4,5,6]","[11]","[[15002,0,0,0,0,13]]",1,1,0
13,name,5,0,"","[4,10,9,4]","[[7,0],[[0,115],2700,1638],[[1740,231],3000,1],[22,1]]",1,0,0
14,name,1,0,"","[4]","[[7,1]]",1,1,0
22,name,5,3000,"","[11]","[[15003,0,0,0,0,23]]",1,0,0
23,name,5,0,"","[5]","[[0]]",1,0,0
24,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
33,name,5,0,"","[19]","[[0]]",1,0,0
