id,name,trigger_type,delay,condition,effect_type,effect_params,times,open,status
6,name,1,0,"","[10]","[[[192,0],1734,856]]",1,1,0
7,name,1,0,"","[9]","[[[1053,357],0,9]]",1,1,0
8,name,1,0,"","[1]","[[[3318002,[7,9],[7,9],1],[3315003,[10,11],[10,11],2],[3314003,[13,11],[13,11],3],[3315003,[15,8],[15,8],4],[3317002,[14,5],[14,5],5],[3315003,[12,4],[12,4],6],[3318002,[8,3],[8,3],7],[3317002,[7,6],[7,6],8]]]",1,1,0
9,name,4,0,"[2,0]","[7]","[[3401011]]",1,1,0
10,name,1,0,"","[11,18]","[[25001,0,0,0,0,11],[0]]",1,1,0
11,name,5,0,"","[19]","[[0]]",1,0,0
12,name,6,0,"[1,8]","[11]","[[25002,0,0,0,0,13]]",1,1,0
13,name,5,0,"","[4,11]","[[24,1],[1000000,3,0,0,0,25]]",1,0,0
24,name,5,2000,"","[20]","[[0]]",1,0,0
25,name,5,0,"","[5]","[[0]]",1,0,0
26,name,6,0,"[0,1]","[6]","[[0]]",1,1,0
